icd10,b_mcr,se_mcr,b_total,se_total
E1042,564.4447,224.08257,482.83783,232.42313
E1043,302.04239,138.31212,236.10393,143.46022
E10649,1190.5692,133.73248,1272.9207,138.71013
E1065,740.76862,77.59359,789.73413,80.481697
E109,783.04742,79.125282,897.58472,82.070404
E1110,500.96973,91.798874,532.37885,95.215714
E1121,609.89044,35.512791,642.62891,36.83461
E1122,-29.00396,18.104517,-11.140199,18.778383
E11319,782.67761,48.900902,784.0686,50.721043
E1136,2036.7001,220.32045,2070.7693,228.52098
E1140,63.13966,23.179947,70.194641,24.042727
E1142,196.12611,26.948511,162.18251,27.951561
E1143,69.511292,66.627617,57.955532,69.107559
E1151,504.45834,28.80755,494.3949,29.879795
E1152,4246.4297,65.763802,4378.4951,68.211594
E1159,472.11618,91.250435,523.04449,94.646866
E11610,1349.183,120.44093,1337.0514,124.92385
E11621,674.63336,45.0107,722.30096,46.686039
E11622,592.47174,76.807823,611.03192,79.666687
E11628,79.303841,81.0439,38.70853,84.060432
E11649,562.67181,33.270695,537.74091,34.509064
E1165,914.03308,17.283659,938.77002,17.926973
E1169,1015.1701,46.005291,1037.3007,47.717651
E118,610.06445,41.906673,705.83002,43.46648
E119,678.55554,11.283099,759.47516,11.703067
E1310,263.4285,93.989731,258.65439,97.488113
E162,-728.12366,47.738388,-744.25421,49.515255
E213,656.16412,63.885883,675.95673,66.263779
E222,1996.2784,51.010834,2035.4845,52.909504
E2740,2287.1045,62.750713,2467.0046,65.086357
E43,4888.4844,25.923906,5151.2632,26.888819
E440,1731.8832,30.493633,1852.3313,31.628635
E441,1472.9301,53.476173,1566.8176,55.466606
E46,3082.5037,26.700609,3252.6838,27.694431
